,id,query,label,index,tokens
0,0,شرایط حذف ترم چیه؟,1,0,"['شرایط', 'حذف', 'ترم']"
1,1,از کجا می تونم با دکتر وحیدی ارتباط برقرار کنم؟,2,1,"['کجا', 'می\u200cتونم', 'دکتر', 'وحیدی', 'ارتباط', 'برقرار', 'کنم']"
2,2,بوفه برداران تا ساعت چند باز است؟,2,2,"['بوفه', 'برداران', 'ساعت', 'باز']"
3,3,کمترین تعداد واحد چند عدد است؟,1,3,"['کمترین', 'تعداد', 'واحد', 'عدد']"
4,4,سنگ جامد است,5,4,"['سنگ', 'جامد']"
5,5,سرورای دانشکده مشکل دارن؟,3,5,"['سرورای', 'دانشکده', 'مشکل', 'دارن']"
6,6,کلاس آزمایشگاه فیزیک در دانشکده خودمان برگزار میشود یا دانشکده فیزیک؟,2,6,"['کلاس', 'آزمایشگاه', 'فیزیک', 'در', 'دانشکده', 'خودمان', 'برگزار', 'میشود', 'دانشکده', 'فیزیک']"
7,7,شرایط حذف پزشکی چیه؟,1,7,"['شرایط', 'حذف', 'پزشکی']"
8,8,در شرایطی ساعت و روز کلاسی جابجا می شود؟,1,8,"['در', 'شرایطی', 'ساعت', 'روز', 'کلاسی', 'جابجا', 'می\u200cشود']"
9,9,سطل آشغال در کلاس 101 وجود ندارد.,4,9,"['سطل', 'آشغال', 'در', 'کلاس', '۱۰۱', 'وجود', 'ندارد']"
10,10,در حذف و اضافه چند واحد میتوانم بردارم؟,1,10,"['در', 'حذف', 'اضافه', 'واحد', 'میتوانم', 'بردارم']"
11,11,پارک علم و فناوری چیه؟,5,11,"['پارک', 'علم', 'فناوری']"
12,12,بازه امتحانات چه زمانی است؟,1,12,"['بازه', 'امتحانات', 'زمانی']"
13,13,چطوری بفهمم مدارکم کامله یا نه ؟,1,13,"['چطوری', 'بفهمم', 'مدارکم', 'کامله', 'نه']"
14,14,انتخاب واحد برای ورودی 1398 برای نیم فصل اول چه زمانی است؟,1,14,"['انتخاب', 'واحد', 'ورودی', '۱۳۹۸', 'نیم', 'فصل', 'اول', 'زمانی']"
15,15,زمان انتخاب واحد کیه؟,1,15,"['زمان', 'انتخاب', 'واحد']"
16,16,میشه ماشین اورد تو دانشگاه یا نه؟,5,16,"['میشه', 'ماشین', 'اورد', 'دانشگاه', 'نه']"
17,17,خوابگاه کجاست؟,2,17,"['خوابگاه', 'کجاست']"
18,18,کتابخانه کجاست؟,2,18,"['کتابخانه', 'کجاست']"
19,19,زباله های خوابگاه را چه ساعتی باید گذاشت دم در؟,5,19,"['زباله\u200cهای', 'خوابگاه', 'ساعتی', 'باید', 'گذاشت', 'دم', 'در']"
20,20,رئیس سابق دانشکده چه شخصی است؟,2,20,"['رئیس', 'سابق', 'دانشکده', 'شخصی']"
21,21,زیراکس کجا واقع شده؟,2,21,"['زیراکس', 'کجا', 'واقع', 'شده']"
