,id,query,tokens,prediction
0,0,چرا آخر ترم درس ها انقدر فشرده میشوند؟,"['آخر', 'ترم', 'درس\u200cها', 'انقدر', 'فشرده', 'میشوند']",4
1,1,فرجه این ترم چقدر است؟,"['فرجه', 'ترم']",1
2,2,صندلی های دانشگاه را ابری کنید!,"['صندلی\u200cهای', 'دانشگاه', 'ابری', 'کنید']",4
3,3,محل تشکیل امتحان,"['محل', 'تشکیل', 'امتحان']",2
4,4,دانشکده زیراکس دارد؟,"['دانشکده', 'زیراکس', 'دارد']",2
5,5,اتاق اساتید در کدام طبقه است؟,"['اتاق', 'اساتید', 'در', 'کدام', 'طبقه']",2
6,6,خوابگاه ها هنوز باز نشده اند؟,"['خوابگاه\u200cها', 'هنوز', 'باز', 'نشده\u200cاند']",2
7,7,حجم تمرین فلان درس خیلی بالاست!,"['حجم', 'تمرین', 'فلان', 'درس', 'خیلی', 'بالاست']",4
8,8,انتخاب واحد کی هست,"['انتخاب', 'واحد']",1
9,9,چجوری میتونم برم آموزش دانشکده؟,"['چجوری', 'میتونم', 'برم', 'آموزش', 'دانشکده']",2
10,10,بر روی کامپیوتر های سایت چه سیستم عاملی سوار است؟,"['بر', 'روی', 'کامپیوتر\u200cهای', 'سایت', 'سیستم', 'عاملی', 'سوار']",3
11,11,ترم دهم شامل سنوات,"['ترم', 'دهم', 'شامل', 'سنوات']",1
12,12,برای گرفتن وام دانشجویی باید به کجا مراجعه کنم؟,"['گرفتن', 'وام', 'دانشجویی', 'باید', 'کجا', 'مراجعه', 'کنم']",1
13,13,سیستم گرمایشی کلاس ها مناسب نیست.,"['سیستم', 'گرمایشی', 'کلاس\u200cها', 'مناسب']",4
14,14,کیفیت غذا در دانشگاه چگونه است؟,"['کیفیت', 'غذا', 'در', 'دانشگاه', 'چگونه']",5
15,15,تمرین هارا کجا آپلود کنیم؟,"['تمرین', 'هارا', 'کجا', 'آپلود', 'کنیم']",1
16,16,کلاس ها رو لطفا حضوری کنید.,"['کلاس\u200cها', 'لطفا', 'حضوری', 'کنید']",4
17,17,اموزش دانشکده کجا میباشد؟,"['اموزش', 'دانشکده', 'کجا', 'میباشد']",2
18,18,برای دروس افتاده باید شهریه پرداخت کرد؟,"['دروس', 'افتاده', 'باید', 'شهریه', 'پرداخت', 'کرد']",1
19,19,لطفا ترم بعد کلاس ها رو به صورت نیمه حضوری برگزار کنید.,"['لطفا', 'ترم', 'بعد', 'کلاس\u200cها', 'صورت', 'نیمه', 'حضوری', 'برگزار', 'کنید']",4
20,20,نزدیکترین بوفه نسبت به دانشکده کجاست؟,"['نزدیکترین', 'بوفه', 'نسبت', 'دانشکده', 'کجاست']",2
21,21,علایم کرونا چیست؟,"['علایم', 'کرونا', 'چیست']",5
22,22,این سیستم روشن نمیشود.,"['سیستم', 'روشن', 'نمیشود']",3
23,23,چرا امبدد رو فقط یک استاد ارائه میده؟,"['امبدد', 'فقط', 'یک', 'استاد', 'ارائه', 'میده']",4
24,24,دستشویی طبقه اول خراب است.,"['دستشویی', 'طبقه', 'اول', 'خراب']",4
25,25,ممکن است شرایط برگزاری امتحان را در سامانه قرار دهید؟,"['ممکن', 'شرایط', 'برگزاری', 'امتحان', 'در', 'سامانه', 'قرار', 'دهید']",4
26,26,بوفه خوب نزدیک دانشکده کجاست؟,"['بوفه', 'خوب', 'نزدیک', 'دانشکده', 'کجاست']",2
27,27,سیستم جستجوی کتابها کجاست؟,"['سیستم', 'جستجوی', 'کتابها', 'کجاست']",3
28,28,چرا درسهای اختیاری کمن؟,"['درسهای', 'اختیاری', 'کمن']",4
29,29,بسیج کجاست,"['بسیج', 'کجاست']",2
30,30,چنتا کتاب راجب فناوری اطلاعات دارین؟,"['چنتا', 'کتاب', 'راجب', 'فناوری', 'اطلاعات', 'دارین']",3
31,31,چرا هزینه ی ترم های تابستونی اینقدر زیاد است؟,"['هزینه\u200cی', 'ترم\u200cهای', 'تابستونی', 'اینقدر', 'زیاد']",4
32,32,کتاب ریاضی ۱ کجاست؟,"['کتاب', 'ریاضی', '۱', 'کجاست']",3
33,33,حالت چطوره؟,"['حالت', 'چطوره']",5
34,34,کتاب پترسون کی در کتابخانه موجود می شود؟,"['کتاب', 'پترسون', 'در', 'کتابخانه', 'موجود', 'می\u200cشود']",3
35,35,شرایط برخورداری از بیمه دانشجویی چیست؟,"['شرایط', 'برخورداری', 'بیمه', 'دانشجویی', 'چیست']",1
36,36,چه اساتیدی درس ایکس رو ارائه میدن؟,"['اساتیدی', 'درس', 'ایکس', 'ارائه', 'میدن']",1
37,37,هر ترم چند درس را می توان حذف اضطراری کرد؟,"['ترم', 'درس', 'می\u200cتوان', 'حذف', 'اضطراری', 'کرد']",1
38,38,فرجه ها را بیشتر کنید,"['فرجه\u200cها', 'بیشتر', 'کنید']",4
39,39,سایت بوفه دارد؟,"['سایت', 'بوفه', 'دارد']",2
40,40,هدف زندگی چیه؟,"['هدف', 'زندگی']",5
41,41,آیا گیم بازی کردن باعث افزایش عمر میشود؟,"['گیم', 'بازی', 'کردن', 'باعث', 'افزایش', 'عمر', 'میشود']",4
42,42,سال تاسيس کی است,"['سال', 'تاسیس']",2
43,43,معدل الف چند به بالاست؟,"['معدل', 'الف', 'بالاست']",1
44,44,چطور وارد انجمن های دانشجویی شوم,"['چطور', 'وارد', 'انجمن\u200cهای', 'دانشجویی', 'شوم']",5
45,45,چگونه میتوان به خوابگاه کوی دانشگاه رفت؟,"['چگونه', 'میتوان', 'خوابگاه', 'کوی', 'دانشگاه', 'رفت']",5
46,46,کلاس 102 کجاست؟,"['کلاس', '۱۰۲', 'کجاست']",2
47,47,چرا فرجه نداریم؟,"['فرجه', 'نداریم']",4
48,48,جمعه کدوم قسمت دانشگاه بازه؟,"['جمعه', 'کدوم', 'قسمت', 'دانشگاه', 'بازه']",2
49,49,توی طبقه دوم چه کلاس هایی هست؟,"['طبقه', 'دوم', 'کلاس', 'هایی']",2
50,50,کلاس 107 کجاست,"['کلاس', '۱۰۷', 'کجاست']",2
51,51,ببخشید ساعت چنده؟,"['ببخشید', 'ساعت', 'چنده']",2
52,52,کتاب رو با تاخیر تحویل بدم جریمه میشم؟,"['کتاب', 'تاخیر', 'تحویل', 'بدم', 'جریمه', 'میشم']",3
53,53,چگونه کارت دانشجویی گم شده ام را درخواست جدید بدهم؟,"['چگونه', 'کارت', 'دانشجویی', 'گم', 'شده\u200cام', 'درخواست', 'جدید', 'بدهم']",3
54,54,چرا کلاس ها حضوری نمیشوند؟,"['کلاس\u200cها', 'حضوری', 'نمیشوند']",4
55,55,مسئول مالی آموزش کل چه کسی است؟,"['مسئول', 'مالی', 'آموزش', 'کل', 'کسی']",2
56,56,انتخاب واحد ترم جدید چه تاریخی است؟,"['انتخاب', 'واحد', 'ترم', 'جدید', 'تاریخی']",1
57,57,می خواهم درخواست دهم تا درس رمزنگاری ارائه شود.,"['می\u200cخواهم', 'درخواست', 'دهم', 'درس', 'رمزنگاری', 'ارائه', 'شود']",1
58,58,میتونم تا ساعت 9 از کتابخانه استفاده کنم؟,"['میتونم', 'ساعت', '۹', 'کتابخانه', 'استفاده', 'کنم']",3
59,59,نمازخانه کجاست؟,"['نمازخانه', 'کجاست']",2
60,60,مهلت تحویل کتاب تا چند روز بعد از امانت گرفتن است؟,"['مهلت', 'تحویل', 'کتاب', 'روز', 'بعد', 'امانت', 'گرفتن']",3
61,61,رمز شناسه بهشتی را از کجا بگیرم؟,"['رمز', 'شناسه', 'بهشتی', 'کجا', 'بگیرم']",1
62,62,ترم آینده از چه زمانی شروع می شود؟,"['ترم', 'آینده', 'زمانی', 'شروع', 'می\u200cشود']",1
63,63,آموزشیارهای درس الگوریتم خوبند,"['آموزشیارهای', 'درس', 'الگوریتم', 'خوبند']",1
64,64,پکیج visual studio رو میتوان رو فلش بریزید؟,"['پکیج', 'visual', 'studio', 'میتوان', 'فلش', 'بریزید']",3
65,65,فوتبال دیشب را دیدید؟,"['فوتبال', 'دیشب', 'دیدید']",5
66,66,متوسط h-index استاد چیه؟,"['متوسط', 'h-index', 'استاد']",4
67,67,گربه های دورور دانشکده کجا رفتن؟,"['گربه\u200cهای', 'دورور', 'دانشکده', 'کجا', 'رفتن']",2
68,68,جریمه,['جریمه'],3
69,69,امتحان درس پایگاه داده در چه تاریخی برگزار میشه؟,"['امتحان', 'درس', 'پایگاه', 'داده', 'در', 'تاریخی', 'برگزار', 'میشه']",1
70,70,کجا پیش نیاز های دروس رو ببینم؟,"['کجا', 'پیش', 'نیاز\u200cهای', 'دروس', 'ببینم']",1
71,71,سطح بعضی امتحانات بیش از اندازه بالاتر از تدریس اساتید است,"['سطح', 'بعضی', 'امتحانات', 'بیش', 'اندازه', 'بالاتر', 'تدریس', 'اساتید']",4
72,72,حداکثرچند کتاب میتوانم بگیرم؟,"['حداکثرچند', 'کتاب', 'میتوانم', 'بگیرم']",3
73,73,چند واحد میتوان اخذ کرد؟,"['واحد', 'میتوان', 'اخذ', 'کرد']",1
74,74,تعداد غیبت های مجاز برای هر درس چند جلسه میباشد؟,"['تعداد', 'غیبت\u200cهای', 'مجاز', 'درس', 'جلسه', 'میباشد']",1
75,75,فرجه نداریم و واقعا نیازه,"['فرجه', 'نداریم', 'واقعا', 'نیازه']",4
76,76,برای حضوری شدن دانشگاه برنامه ای در نظر گرفته شده؟,"['حضوری', 'شدن', 'دانشگاه', 'برنامه\u200cای', 'در', 'نظر', 'گرفته', 'شده']",4
77,77,کارگاه کامپیوتر کجاست؟,"['کارگاه', 'کامپیوتر', 'کجاست']",2
78,78,تا چند کتاب میتوان قرض گرفت؟,"['کتاب', 'میتوان', 'قرض', 'گرفت']",3
79,79,مدرسه تکمیلی چند واحد داره ؟,"['مدرسه', 'تکمیلی', 'واحد', 'داره']",1
80,80,مسابقات مهیج بین دانشجویان در سال برگزار کنید,"['مسابقات', 'مهیج', 'بین', 'دانشجویان', 'در', 'سال', 'برگزار', 'کنید']",4
81,81,زمان جشن روز دانشکده کی است؟,"['زمان', 'جشن', 'روز', 'دانشکده']",2
82,82,پروژه های که اساتید میدن به شدت سخته.,"['پروژه\u200cهای', 'که', 'اساتید', 'میدن', 'شدت', 'سخته']",4
83,83,مهلت تحویل کتاب، مجازی هم قابل تمدید است؟,"['مهلت', 'تحویل', 'کتاب', 'مجازی', 'هم', 'قابل', 'تمدید']",3
84,84,دانشکده هر روز تا چه ساعتی باز است؟,"['دانشکده', 'روز', 'ساعتی', 'باز']",2
85,85,به هیچ وجه وسط کرونا داشگاه رو حضوری نکنید.,"['هیچ', 'وجه', 'وسط', 'کرونا', 'داشگاه', 'حضوری', 'نکنید']",4
86,86,بوفه ی دانشکده کجا هست؟,"['بوفه\u200cی', 'دانشکده', 'کجا']",2
87,87,برای صدور کارت دانشجویی المثنی به چه مدارکی نیازه؟,"['صدور', 'کارت', 'دانشجویی', 'المثنی', 'مدارکی', 'نیازه']",1
88,88,برای گرفتن مدارک به کجا باید مراجعه کرد؟,"['گرفتن', 'مدارک', 'کجا', 'باید', 'مراجعه', 'کرد']",1
89,89,جریمه دیرکرد رو کجا پرداخت کنم؟,"['جریمه', 'دیرکرد', 'کجا', 'پرداخت', 'کنم']",3
90,90,نظرسنجی اساتید را انجام ندهم مهم است؟,"['نظرسنجی', 'اساتید', 'انجام', 'ندهم', 'مهم']",1
91,91,چه روزهایی به معاون آموزشی می توان مراجعه کرد؟,"['روزهایی', 'معاون', 'آموزشی', 'می\u200cتوان', 'مراجعه', 'کرد']",2
92,92,چرا حین امتحانات پایان ترم بخشی از پروژه را می خواید؟,"['حین', 'امتحانات', 'پایان', 'ترم', 'بخشی', 'پروژه', 'می\u200cخواید']",1
93,93,چگونه میتوانم ترم را حذف کنم؟,"['چگونه', 'میتوانم', 'ترم', 'حذف', 'کنم']",1
94,94,آدرس اتاق دکتر قوامی زاده را بدهید.,"['آدرس', 'اتاق', 'دکتر', 'قوامی', 'زاده', 'بدهید']",2
95,95,مقدار وام دانشجویی چقدر است ؟,"['مقدار', 'وام', 'دانشجویی']",5
96,96,میشه تو نمازخونه خوابید؟,"['میشه', 'نمازخونه', 'خوابید']",2
97,97,اخرین چاپ کتاب معماری هریس چه زمانی میباشد؟,"['اخرین', 'چاپ', 'کتاب', 'معماری', 'هریس', 'زمانی', 'میباشد']",3
98,98,بهم واحد کم رسیده ، حالا چیکار کنم؟,"['بهم', 'واحد', 'کم', 'رسیده', 'حالا', 'چیکار', 'کنم']",1
99,99,نماز جماعت برگزار می,"['نماز', 'جماعت', 'برگزار', 'می']",2
100,100,لیست دروس ارائه شده را از کجا میتوانم ببینم؟,"['لیست', 'دروس', 'ارائه', 'شده', 'کجا', 'میتوانم', 'ببینم']",1
101,101,آیا می توانم روی کامپیوتر سایت نرم افزار نصب کنم؟,"['می\u200cتوانم', 'روی', 'کامپیوتر', 'سایت', 'نرم', 'افزار', 'نصب', 'کنم']",3
102,102,رمز اکانت را چگونه پیدا کنم؟,"['رمز', 'اکانت', 'چگونه', 'پیدا', 'کنم']",3
103,103,چجوری میتونم برای نمره اعتراض بزنم؟,"['چجوری', 'میتونم', 'نمره', 'اعتراض', 'بزنم']",1
104,104,آموزش کجاست؟,"['آموزش', 'کجاست']",2
105,105,تعداد مایکروویو های دانشکده رو زیاد کنید.,"['تعداد', 'مایکروویو\u200cهای', 'دانشکده', 'زیاد', 'کنید']",4
106,106,برای حذف ترم کیا باید تایید کنن ؟,"['حذف', 'ترم', 'کیا', 'باید', 'تایید', 'کنن']",1
107,107,بوفه مرکزی تا کی باز هست؟,"['بوفه', 'مرکزی', 'باز']",2
108,108,پایان امتحانات چه تاریخی است؟,"['پایان', 'امتحانات', 'تاریخی']",1
109,109,مسئول سلف بسیار ادم شریفی است.,"['مسئول', 'سلف', 'بسیار', 'ادم', 'شریفی']",4
110,110,پارک دانشگاه چمن ندارد.,"['پارک', 'دانشگاه', 'چمن', 'ندارد']",5
111,111,ورود ماشین به دانشگاه چطور ممکن است؟,"['ورود', 'ماشین', 'دانشگاه', 'چطور', 'ممکن']",5
112,112,امکان استفاده از سایت در چه ساعاتی فراهم است ؟,"['امکان', 'استفاده', 'سایت', 'در', 'ساعاتی', 'فراهم']",3
113,113,لابی خراب شده رسیدگی کنید,"['لابی', 'خراب', 'شده', 'رسیدگی', 'کنید']",4
114,114,اموزش برق کجاست,"['اموزش', 'برق', 'کجاست']",2
115,115,ترم بعدی چند واحد میتوانم انتخاب کنم؟,"['ترم', 'بعدی', 'واحد', 'میتوانم', 'انتخاب', 'کنم']",1
116,116,چرا آموزش حضوری را آغاز نمیکنید؟,"['آموزش', 'حضوری', 'آغاز', 'نمیکنید']",4
117,117,میشه دو ترم پشت هم حذف کرد؟,"['میشه', 'دو', 'ترم', 'پشت', 'هم', 'حذف', 'کرد']",1
118,118,چرا لابی دانشکده کامپیوتر را خراب کردید؟,"['لابی', 'دانشکده', 'کامپیوتر', 'خراب', 'کردید']",4
119,119,لطفا برگه من را امضا کنید.,"['لطفا', 'برگه', 'امضا', 'کنید']",4
120,120,بعضی اساتید کلاس جبرانی را در روزهای تعطیل برگزار میکنند.,"['بعضی', 'اساتید', 'کلاس', 'جبرانی', 'در', 'روزهای', 'تعطیل', 'برگزار', 'میکنند']",4
121,121,امور خوابگاها کجاست؟,"['امور', 'خوابگاها', 'کجاست']",2
122,122,چرا دانشکده اقدامی جهت اجرای فرجه امتحانات نمی کند؟,"['دانشکده', 'اقدامی', 'جهت', 'اجرای', 'فرجه', 'امتحانات', 'نمی\u200cکند']",4
123,123,میزان فرجه ها چند روز است؟,"['میزان', 'فرجه\u200cها', 'روز']",5
124,124,تاکسی داخل دانشگاه کجاست,"['تاکسی', 'داخل', 'دانشگاه', 'کجاست']",2
125,125,بهترین راه جلوگیری از بیماری های قلبی چیست؟,"['بهترین', 'راه', 'جلوگیری', 'بیماری\u200cهای', 'قلبی', 'چیست']",5
126,126,چه خبر؟,['خبر'],5
127,127,وام دانشجویی به من تعلق میگیرد؟,"['وام', 'دانشجویی', 'تعلق', 'میگیرد']",5
128,128,تعداد سری تمرین های درس نظریه زبان و ماشین چقدر است؟,"['تعداد', 'سری', 'تمرین\u200cهای', 'درس', 'نظریه', 'زبان', 'ماشین']",4
129,129,دستیار استاد بودن چه تاثیری دارد؟,"['دستیار', 'استاد', 'بودن', 'تاثیری', 'دارد']",4
130,130,تو دانشکده چند تا سایت هست؟,"['دانشکده', 'سایت']",2
131,131,کتاب فیزیک هالیدی در کتابخانه موجود است؟,"['کتاب', 'فیزیک', 'هالیدی', 'در', 'کتابخانه', 'موجود']",3
132,132,استاد نمرات را خیلی دیر اعلام میکند,"['استاد', 'نمرات', 'خیلی', 'دیر', 'اعلام', 'میکند']",4
133,133,تاریخ امروز چیست؟,"['تاریخ', 'امروز', 'چیست']",5
134,134,مهلت نظرسنجی اساتید تا کی است؟,"['مهلت', 'نظرسنجی', 'اساتید']",1
135,135,رئیس گروه نرم افزار کیست؟,"['رئیس', 'گروه', 'نرم', 'افزار', 'کیست']",2
136,136,من دوتا میخوام,"['دوتا', 'میخوام']",5
137,137,آیا میشه رو کامپیوتر ها بازی نصب کنم؟,"['میشه', 'کامپیوتر\u200cها', 'بازی', 'نصب', 'کنم']",3
138,138,نمازخانه کجاست؟,"['نمازخانه', 'کجاست']",2
